4,,,
upgradeLV,statIndex,5_money,5_value
291,5,1066850,7275
292,5,1073710,7300
293,5,1080580,7325
294,5,1087480,7350
295,5,1094400,7375
296,5,1101340,7400
297,5,1108300,7425
298,5,1115280,7450
299,5,1122280,7475
300,5,9999999,7500
